13,02,20,21,29,08,08
32,07,22,15,10,38,02
31,21,10,26,02,32,08
18,03,08,37,30,02,07
07,05,06,01,22,26,07
33,18,38,06,22,21,04
18,25,28,19,12,24,05
18,04,37,05,07,30,01
16,38,21,07,02,04,07
29,04,15,25,32,08,01
23,24,06,25,36,01,04
12,25,36,34,07,31,05
27,02,29,38,25,14,03
26,07,17,31,03,02,08
10,24,30,23,16,06,08
30,36,11,15,13,33,03
30,14,29,04,13,10,07
04,06,16,01,32,38,03
28,36,22,05,07,31,03
19,27,01,11,13,09,05
08,16,24,11,22,13,07
18,12,38,28,36,21,01
10,06,31,35,03,37,01
15,35,27,21,23,05,07
12,25,33,04,30,35,02
16,17,18,28,35,37,04
35,03,05,28,31,32,01
05,35,20,31,22,08,07
14,15,07,38,34,05,01
25,01,34,28,38,08,06
21,22,26,32,04,14,07
36,26,13,06,04,38,08
10,30,21,08,33,12,01
22,02,26,12,13,21,04
35,32,34,06,31,37,04
27,10,08,37,28,19,03
07,18,08,23,31,12,02
31,04,23,34,35,22,01
04,03,30,24,23,26,02
34,38,23,13,14,37,07
36,04,23,09,37,21,03
31,29,26,32,12,28,06
38,36,20,28,26,08,08
10,14,16,06,11,30,01
28,37,19,24,21,17,06
02,08,25,35,29,36,02
13,27,20,25,28,33,01
16,35,36,20,06,08,08
33,14,12,37,17,08,05
30,01,10,03,18,13,01
29,10,36,27,23,15,05
23,26,04,08,20,21,05
09,13,05,01,37,28,05
27,08,20,28,13,15,04
11,29,18,27,22,28,04
30,19,21,27,15,11,04
27,12,22,15,28,02,05
37,18,08,25,01,35,05
24,35,31,14,06,37,01
38,19,15,37,04,22,05
30,17,02,15,08,16,06
33,22,02,27,25,13,08
25,28,05,32,38,21,05
18,06,10,24,15,14,07
38,33,22,06,31,32,04
19,06,01,17,27,30,06
13,12,34,25,09,24,05
08,21,30,14,19,31,02
04,26,30,18,36,01,01
04,05,11,32,02,33,08
33,16,24,25,31,32,05
29,19,10,09,14,28,08
05,09,08,29,02,01,01
33,21,07,28,35,09,08
33,01,22,36,31,16,04
12,20,34,36,09,37,03
02,32,09,10,19,22,05
22,19,32,18,27,35,02
11,31,07,34,20,14,07
08,20,19,10,12,37,01
18,05,21,14,04,33,02
14,22,04,30,19,27,05
24,27,03,29,11,37,01
30,10,29,11,16,24,01
04,18,19,26,14,34,03
19,24,04,30,27,12,07
29,25,28,04,21,14,02
31,08,22,14,36,10,04
04,33,10,32,30,14,08
01,10,31,02,21,22,08
18,25,38,26,37,01,06
29,37,21,16,27,20,03
01,10,04,03,13,37,01
25,06,35,29,17,36,01
15,35,16,11,05,23,01
01,15,31,33,38,17,02
26,05,33,28,10,18,02
25,18,23,36,17,26,05
16,36,27,29,14,25,07
19,11,16,04,23,12,06
37,34,12,18,31,10,05
32,25,18,23,22,36,06
10,05,20,26,03,30,06
15,26,24,01,23,29,05
14,05,26,23,22,32,08
10,14,26,08,24,01,01
18,05,21,37,19,31,08
37,07,29,05,15,25,08
21,03,20,15,28,14,08
10,24,23,35,05,15,06
37,15,08,23,18,31,08
28,26,10,36,22,12,08
36,28,15,27,08,02,07
13,33,12,31,04,26,06
35,33,22,15,20,25,07
08,02,06,38,07,09,08
33,30,26,03,35,19,02
24,30,09,20,12,11,02
30,11,37,34,25,21,01
35,08,38,12,28,27,06
38,07,10,37,09,24,08
27,34,06,09,08,10,06
06,02,11,08,38,26,07
20,32,36,15,05,19,03
17,34,31,14,01,06,08
14,35,12,27,17,15,06
06,34,24,05,32,13,01
31,35,17,12,33,30,04
24,22,32,05,19,03,02
33,29,02,21,01,36,08
14,31,02,19,07,01,07
22,11,07,05,36,02,06
24,38,35,20,27,11,08
24,07,12,13,28,21,06
10,38,11,05,36,15,06
29,26,01,05,18,20,05
19,05,13,37,01,04,02
10,36,14,23,06,03,01
09,37,02,10,04,11,02
01,03,05,11,17,21,02
34,23,01,06,26,15,06
29,13,38,17,36,03,07
36,37,30,25,35,16,05
29,28,16,37,01,03,02
04,33,21,08,32,09,02
18,36,27,26,30,14,05
12,25,04,38,24,33,04
01,29,18,04,30,14,08
26,17,04,27,01,24,07
37,03,25,16,10,29,01
15,34,16,01,04,03,02
07,36,08,10,33,25,03
30,07,23,04,05,24,02
12,38,23,13,04,15,04
35,38,34,31,05,13,02
21,32,37,08,22,26,04
36,11,09,12,31,21,07
02,26,24,13,04,08,02
21,18,16,12,03,36,03
01,02,30,27,14,22,01
30,05,08,20,34,22,08
06,34,35,30,38,17,02
17,27,10,18,12,32,05
38,24,36,26,06,14,03
08,24,01,10,19,23,05
18,37,19,01,12,08,05
22,20,01,07,25,32,08
11,28,06,15,02,12,02
20,37,23,05,12,32,02
35,29,26,28,08,03,03
22,25,21,26,11,24,06
11,09,25,15,28,38,03
34,02,26,12,14,37,02
32,26,35,13,23,12,04
08,25,06,33,13,16,03
18,26,07,27,13,24,06
10,05,03,31,23,30,04
35,30,22,15,16,10,05
05,23,06,38,17,13,08
06,37,01,15,12,25,02
04,30,07,38,25,11,04
19,25,33,22,31,21,01
32,34,23,37,02,25,06
24,33,35,21,03,15,02
28,19,10,06,13,11,01
26,24,09,27,37,38,06
07,25,31,04,35,08,08
21,13,08,17,05,38,05
27,26,19,03,11,05,02
37,17,27,03,08,10,08
29,26,07,24,25,27,07
36,37,31,07,29,23,08
27,11,12,07,22,14,03
36,15,03,32,27,04,05
17,27,31,29,12,01,06
02,01,31,24,38,07,08
33,16,13,37,28,35,08
11,02,29,18,03,16,04
30,26,07,04,23,36,07
